# year, no_of_titles, sub_style
"2005",1.00,"Album Rock"
"2005",4.00,"Dance-Pop"
"2005",3.00,"Garage Rock"
"2005",5.00,"Pop/Rock"
"2005",1.00,"Freakbeat"
"2005",1.00,"Sunshine Pop"
"2005",1.00,"Obscuro"
"2005",1.00,"Hair Metal"
"2005",1.00,"Arena Rock"
"2005",1.00,"Neo-Psychedelia"
"2005",1.00,"Punk Blues"
"2005",1.00,"Alternative Singer/Songwriter"
"2005",1.00,"Alternative Dance"
"2005",1.00,"Rap-Metal"
"2005",5.00,"Hard Rock"
"2005",8.00,"Rock &amp; Roll"
"2005",2.00,"Hardcore Punk"
"2005",2.00,"Teen Idol"
"2005",3.00,"House"
"2005",2.00,"British Psychedelia"
"2005",1.00,"Garage Rock Revival"
"2005",1.00,"Post-Punk"
"2005",1.00,"American Punk"
"2005",2.00,"Anarchist Punk"
"2005",1.00,"British Metal"
"2005",1.00,"Punk Revival"
"2005",2.00,"American Underground"
"2005",3.00,"Pop"
"2005",2.00,"Rockabilly"
"2005",2.00,"Alternative Pop/Rock"
"2005",1.00,"Urban"
"2005",4.00,"New Wave"
"2005",1.00,"Power Pop"
"2005",1.00,"Death Metal/Black Metal"
"2005",1.00,"Hi-NRG"
"2005",2.00,"Experimental Rock"
"2005",1.00,"Electro-Industrial"
"2005",1.00,"Baroque Pop"
"2005",1.00,"Blues-Rock"
"2005",2.00,"Teen Pop"
"2005",1.00,"Club/Dance"
"2005",1.00,"Detroit Rock"
"2005",2.00,"Alternative Metal"
"2005",1.00,"Celebrity"
"2005",8.00,"New Wave/Post-Punk Revival"
"2005",1.00,"Folk-Pop"
"2005",2.00,"Singer/Songwriter"
"2005",2.00,"Punk"
"2005",1.00,"Progressive Metal"
"2005",2.00,"Adult Contemporary"
"2005",2.00,"Brill Building Pop"
"2005",2.00,"Euro-Dance"
"2005",5.00,"Psychedelic"
"2005",2.00,"Soft Rock"
"2005",1.00,"Rap-Rock"
"2005",3.00,"Frat Rock"
"2005",2.00,"New Wave of British Heavy Metal"
"2005",2.00,"Folk-Rock"
"2005",1.00,"French Pop"
"2005",7.00,"Heavy Metal"
"2005",1.00,"Psychedelic Pop"
"2005",3.00,"Prog-Rock/Art Rock"
"2006",2.00,"Kraut Rock"
"2006",2.00,"Britpop"
"2006",1.00,"Sunshine Pop"
"2006",2.00,"Detroit Rock"
"2006",1.00,"Hair Metal"
"2006",1.00,"Stoner Metal"
"2006",1.00,"Power Metal"
"2006",11.00,"New Wave/Post-Punk Revival"
"2006",2.00,"Rockabilly"
"2006",1.00,"Singer/Songwriter"
"2006",1.00,"Punk"
"2006",1.00,"Southern Rock"
"2006",1.00,"New Wave"
"2006",2.00,"Goth Rock"
"2006",2.00,"Club/Dance"
"2006",3.00,"New York Punk"
"2006",1.00,"Post-Rock/Experimental"
"2006",1.00,"Doom Metal"
"2006",1.00,"Sludge Metal"
"2006",2.00,"Boogie Rock"
"2006",2.00,"Disco"
"2006",1.00,"Instrumental Rock"
"2006",1.00,"Bubblegum"
"2006",2.00,"British Psychedelia"
"2006",3.00,"Post-Punk"
"2006",2.00,"Death Metal/Black Metal"
"2006",1.00,"Alternative Folk"
"2006",1.00,"Experimental Rock"
"2006",2.00,"Noise Pop"
"2006",7.00,"Heavy Metal"
"2006",3.00,"Urban"
"2006",3.00,"Prog-Rock/Art Rock"
"2006",1.00,"British Metal"
"2006",1.00,"Synth Pop"
"2006",1.00,"Folk-Pop"
"2006",3.00,"Progressive Metal"
"2006",4.00,"Hard Rock"
"2006",8.00,"Album Rock"
"2006",1.00,"Pop-Metal"
"2006",1.00,"Soft Rock"
"2006",2.00,"Dance-Pop"
"2006",2.00,"Pop/Rock"
"2006",1.00,"Math Rock"
"2006",2.00,"American Punk"
"2006",1.00,"Arena Rock"
"2006",3.00,"Alternative Metal"
"2006",1.00,"Symphonic Black Metal"
"2006",1.00,"Bar Band"
"2006",1.00,"British Blues"
"2006",7.00,"College Rock"
"2006",1.00,"Indie Electronic"
"2006",1.00,"Pop"
"2006",3.00,"Rock &amp; Roll"
"2006",10.00,"Alternative Pop/Rock"
"2006",1.00,"Aussie Rock"
"2006",1.00,"British Folk-Rock"
"2006",2.00,"Indie Pop"
"2006",3.00,"Blues-Rock"
"2007",1.00,"Country-Rock"
"2007",1.00,"Scandinavian Metal"
"2007",1.00,"Power Metal"
"2007",1.00,"Punk Revival"
"2007",3.00,"Progressive Metal"
"2007",1.00,"British Psychedelia"
"2007",1.00,"Death Metal/Black Metal"
"2007",1.00,"Garage Rock"
"2007",1.00,"Pop/Rock"
"2007",1.00,"Noise Pop"
"2007",3.00,"Urban"
"2007",1.00,"College Rock"
"2007",8.00,"New Wave/Post-Punk Revival"
"2007",1.00,"Rockabilly Revival"
"2007",1.00,"Alternative Pop/Rock"
"2007",1.00,"Pub Rock"
"2007",1.00,"Euro-Dance"
"2007",1.00,"New Wave"
"2007",7.00,"Heavy Metal"
"2007",2.00,"Symphonic Black Metal"
"2007",3.00,"Punk"
"2007",1.00,"Rock &amp; Roll"
"2007",1.00,"Hard Rock"
"2007",1.00,"Psychedelic"
"2007",1.00,"New Wave of British Heavy Metal"
"2007",4.00,"Prog-Rock/Art Rock"
"2007",1.00,"Industrial"
"2007",1.00,"Adult Contemporary"
"2007",5.00,"Album Rock"
"2007",1.00,"Aussie Rock"
"2007",1.00,"Experimental Rock"
"2007",1.00,"Psychedelic Pop"
"2008",1.00,"Jangle Pop"
"2008",1.00,"Progressive Metal"
"2008",2.00,"Christian Metal"
"2008",1.00,"Hard Rock"
"2008",3.00,"New Wave"
"2008",1.00,"Death Metal/Black Metal"
"2008",1.00,"Ambient Pop"
"2008",1.00,"Sadcore"
"2008",2.00,"Blues-Rock"
"2008",1.00,"Heavy Metal"
"2008",1.00,"Kraut Rock"
"2008",2.00,"Scandinavian Metal"
"2008",1.00,"Symphonic Black Metal"
"2008",1.00,"Industrial"
"2008",1.00,"Synth Pop"
"2008",1.00,"Urban"
"2008",1.00,"Power Pop"
"2008",4.00,"Pop/Rock"
"2008",1.00,"Club/Dance"
"2008",1.00,"Paisley Underground"
"2008",2.00,"Rock &amp; Roll"
"2008",1.00,"British Invasion"
"2008",1.00,"Folk-Rock"
"2008",1.00,"British Blues"
"2008",2.00,"Album Rock"
"2008",1.00,"British Folk-Rock"
"2008",1.00,"Indie Pop"
